frame,image,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
9,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0009.png,7,180.25,96.25,161.0,81.0,195.0,80.0,199.0,111.0,166.0,113.0,True,-2.525410987009119,-1.4487077975807292,5.107444243676555,5.878983044570068,-2.5417051815409857,0.09522005893912118,-0.8353251091728737,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004
9,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0009.png,6,268.0,92.0,250.0,77.0,282.0,76.0,286.0,107.0,254.0,108.0,True,-2.1018801380453507,-1.514343977680388,5.252720595160759,5.856808981712858,3.2546443557783404,-0.14939204094341302,0.4498044659919003,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004
10,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0010.png,14,234.75,426.75,209.0,441.0,214.0,419.0,259.0,413.0,257.0,434.0,True,-1.5844687467965046,0.260181177341324,3.635665784210549,3.9744560821698496,1.3399178796786329,-1.8073843632582878,1.1105078917280773,-3.1,0.0,2.2,0.0,0.5,-0.4
10,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0010.png,2,560.5,342.0,527.0,316.0,586.0,308.0,594.0,368.0,535.0,376.0,True,-0.22374606144855883,-0.05053543261462161,2.6124809564227025,2.62253176866069,3.143740372266253,-0.2073280340240275,-0.17174922768287798,-3.1,0.0,2.2,0.0,0.5,-0.4
10,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0010.png,1,737.5,332.0,664.0,315.0,765.0,302.0,816.0,347.0,705.0,364.0,True,0.1438190043972844,-0.04342994327504933,1.3750218899041284,1.3832047078123402,2.024680813219269,-0.3214018336867195,0.20304768778930402,-3.1,0.0,2.2,0.0,0.5,-0.4
10,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0010.png,5,510.5,116.0,494.0,102.0,523.0,100.0,527.0,130.0,498.0,132.0,True,-0.7451982495988183,-1.4047655576803153,5.3516337587858125,5.582890881203571,3.183014830843729,-0.22098119085141993,0.5175906159132512,-3.1,0.0,2.2,0.0,0.5,-0.4
10,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0010.png,7,126.0,83.5,105.0,68.0,142.0,66.0,147.0,99.0,110.0,101.0,True,-2.6099377345201713,-1.4042804419150579,4.720425013747163,5.573705306887631,-3.129185051501611,0.23963391272936593,-0.4552107231778449,-3.1,0.0,2.2,0.0,0.5,-0.4
10,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0010.png,6,219.5,78.75,200.0,63.0,234.0,62.0,239.0,94.0,205.0,96.0,True,-2.2633356692025326,-1.5139426515314853,5.003874624720816,5.696794885155648,3.2298804847491116,-0.18725587845664535,0.4747810079997577,-3.1,0.0,2.2,0.0,0.5,-0.4
11,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0011.png,14,194.5,435.75,168.0,452.0,171.0,428.0,220.0,420.0,219.0,443.0,True,-1.645607020653265,0.27893568065932534,3.434959694815956,3.819001922672771,1.307274235540541,-1.8781140804554264,1.1331033101494203,-3.0483870967741935,0.0,2.2,0.0,0.5064516129032258,-0.5
11,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0011.png,1,746.25,353.0,664.0,334.0,773.0,317.0,833.0,369.0,715.0,392.0,True,0.1434484546104305,-0.01184323238912963,1.2591598606692556,1.267359963074486,2.0383789081418766,-0.3643568359368931,0.22506977735244393,-3.0483870967741935,0.0,2.2,0.0,0.5064516129032258,-0.5
11,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0011.png,2,539.75,346.25,504.0,320.0,566.0,310.0,575.0,372.0,514.0,383.0,True,-0.2674976006800572,-0.036589530146346555,2.488705291490962,2.503307369857132,-2.9836955453129232,0.2361232080825404,-0.4916218549541687,-3.0483870967741935,0.0,2.2,0.0,0.5064516129032258,-0.5
