marker_id,corner_idx,status,x_colmap,y_colmap,z_colmap,obs_count,inlier_count,mean_reproj_px,median_reproj_px,max_reproj_px,note
10,0,OK,-2.6227765168043398,1.6559546042053976,-1.7545501407312085,41,41,0.3844255110173906,0.3783568460235425,1.0124998872003756,
10,1,OK,-2.4279173989263985,1.6893976003022717,-1.8429594380391214,41,41,0.5618741706976182,0.5082237047845224,1.035386495508195,
10,2,OK,-2.464600228471122,1.9030068406407104,-1.8451786663035552,41,41,0.47774414708120516,0.3619897472359476,1.0718299736038694,
10,3,OK,-2.6594913771499806,1.8693489429219479,-1.7548574849893779,41,41,0.43360415245173817,0.4339432708242071,0.8199434271356071,
11,0,OK,-2.0236212133528833,2.185410677087833,-3.3023128519200897,28,28,1.0076504474739294,1.0141800188490233,1.81720448630997,
11,1,OK,-1.8284271233454574,2.218813018268297,-3.393274692032136,28,28,0.7921723119699232,0.8148333176743232,1.2975151268868546,
11,2,OK,-1.9268796469191853,2.2890178669824763,-3.5783994967383816,28,28,0.6565117172059034,0.6031543103928749,1.3611787090498435,
11,3,OK,-2.1219717350978287,2.255553644698638,-3.48717306037088,28,28,0.7807788889982955,0.6176662932462963,2.030976008059529,
12,0,OK,-3.2165145308256844,2.130701054360402,-3.0119396247159385,48,48,0.5901949286312763,0.46993159610650515,1.834707159206084,
12,1,OK,-3.1179581973143957,2.0618080085085517,-2.8281560169907425,48,48,0.6015174432567642,0.546682226514307,1.6490375129683377,
12,2,OK,-3.040618709825697,2.2622323230198953,-2.795616071108297,48,48,0.8074412772808719,0.7070685080715768,3.6403051530800674,
12,3,OK,-3.1390681930077515,2.3311401229946527,-2.978066392713266,48,48,0.6935812477152968,0.6565668418367283,2.095323146199016,
13,0,OK,-1.2051269147048729,2.6669459075116997,-3.634412087287617,11,11,0.5863775404841323,0.5801557293418002,0.9550694485170047,
13,1,OK,-1.0122100243232208,2.699132638416571,-3.7280376742973957,11,11,1.5392775964243655,1.3903218060394846,3.9224329068066375,
13,2,OK,-1.108090490058776,2.769909990523416,-3.9104040021272573,11,11,0.7691671168831746,0.7677235867200976,1.34371066745666,
13,3,OK,-1.3030281185368806,2.737592698741293,-3.8196098076664566,11,11,0.5187381623599155,0.36148829530109855,1.2235153706936002,
14,0,OK,1.0755171052264936,2.048493651851439,1.1717038084513969,31,31,0.657648593055638,0.6665135719969845,1.9088532916085756,
14,1,OK,0.9778278899029049,2.1177110655665716,0.9906608505194473,31,31,0.6893445806176104,0.6148217877994478,1.6664695574198323,
14,2,OK,0.7856556164679449,2.084773907937831,1.0823530348182202,31,31,0.7556585203454231,0.769817184413412,1.2595843058590492,
14,3,OK,0.8831932428408402,2.015645067402028,1.263107502725624,31,31,0.8222509159923154,0.7438161840956925,2.5477415487864827,
