method,marker_id,is_scale_anchor,moving_inlier_frame_count,moving_inlier_frames,max_triangulation_angle_deg,static_validation_cameras,static_validation_camera_count,raw_reconstructed_size_units,anchor_scale_m_per_unit,estimated_marker_size_cm,expected_marker_size_cm,absolute_size_error_cm,relative_size_error_percent,moving_fit_reprojection_rmse_px,moving_to_static_reprojection_rmse_px,moving_to_static_reprojection_median_px,moving_to_static_reprojection_observations
AP03,0,False,10,24;25;26;27;28;49;50;51;52;53,95.42218429600612,,0,0.16807278419722016,0.9195435317032684,15.455024156391312,17.0,1.5449758436086896,9.088093197698173,1.4340438631590442,,,0
AP03,2,False,14,0;1;2;3;4;5;6;7;8;73;74;75;76;77,26.356436350697326,cam_edge_1;cam_edge_3,2,0.17049080950300502,0.9195435317032684,15.67737210933424,17.0,1.3226278906657618,7.780164062739774,1.197617083738084,1830.5507379316778,1207.0212471784187,8
AP03,3,True,9,0;1;2;3;4;74;75;76;77,126.42337658184928,cam_edge_1,1,0.18487433616667326,0.9195435317032684,17.0,17.0,0,0,1.5000275032591082,2.8562443494118397,1.2225677205426522,4
AP03,4,False,17,9;10;11;12;13;14;15;16;17;63;64;65;66;67;68;69;70,119.96780772206665,cam_edge_1,1,0.17049756299375413,0.9195435317032684,15.677993122207715,17.0,1.3220068777922866,7.77651104583698,2.2255709167814755,512.5549316597467,507.3919363625579,4
AP03,5,False,20,14;15;16;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66,34.099781476741235,cam_edge_5,1,0.16822761715785498,0.9195435317032684,15.469261721135933,17.0,1.5307382788640689,9.004342816847464,1.6161235887663385,0.7124835568147173,0.6606170060508925,4
AP03,7,False,4,48;49;50;51,13.166662369826602,cam_edge_5,1,0.16554041758305402,0.9195435317032684,15.222162022395533,17.0,1.7778379776044684,10.457870456496872,1.2318972779156607,1.5494415777727535,1.4960040962710517,4
AP03,9,False,5,37;38;39;40;41,32.784320496359825,cam_edge_5,1,0.1709866752837294,0.9195435317032684,15.722969126460049,17.0,1.2770308735399527,7.511946314940897,1.2798181399643462,1.1088988496535597,1.1229224441234087,4
AP03,10,False,5,33;35;36;37;38,48.26498294854003,cam_edge_5,1,0.1712240345411331,0.9195435317032684,15.744795343443595,17.0,1.2552046565564052,7.383556803272971,0.8803504424035543,3.3700890104395054,2.656142896763436,4
AP03,12,False,11,34;35;36;37;38;42;43;44;45;46;47,59.774699962816854,cam_edge_5,1,0.17218619714428393,0.9195435317032684,15.833270383261008,17.0,1.166729616738993,6.86311539258231,1.9388257116042218,5.300471043591287,5.099820842888587,4
AP03,15,False,9,26;27;28;29;30;57;59;60;61,72.1459191063575,cam_edge_0;cam_edge_3,2,0.170457519209193,0.9195435317032684,15.674310921899902,17.0,1.325689078100098,7.798171047647635,1.9691240994393828,1.0876387019825493,1.0970586847881871,8
AP03,16,False,10,26;27;28;29;30;55;56;59;60;61,72.71800498751756,cam_edge_0;cam_edge_3,2,0.16972805216049675,0.9195435317032684,15.607233251277975,17.0,1.392766748722027,8.192745580717805,1.8006048063532654,0.96465907624369,0.8551597403039943,8
AP03,17,False,6,36;37;38;39;40;41,21.173788147628084,cam_edge_5,1,0.1705052393883864,0.9195435317032684,15.678699000110807,17.0,1.321300999889194,7.772358822877611,0.8967716269277028,4.58939239936684,4.959217074311378,4
AP03,18,False,4,4;71;73;74,108.2951235999503,,0,0.17356074025172774,0.9195435317032684,15.959665605610734,17.0,1.0403343943892667,6.119614084642745,0.9780062661685878,,,0
AP03,19,False,9,27;28;55;56;57;58;59;60;61,82.82701175781689,cam_edge_0;cam_edge_3,2,0.1713613119978258,0.9195435317032684,15.75741860317864,17.0,1.2425813968213602,7.309302334243294,1.4292569490759697,1.1936837166992007,0.9572766770108272,8
AP03,20,False,12,1;2;3;4;5;6;7;73;74;75;76;77,141.23346520854676,cam_edge_1,1,0.17238412962162628,0.9195435317032684,15.851471136186424,17.0,1.1485288638135778,6.756052140079869,1.686197728307957,1.643186780808536,1.081665154258818,4
