frame_id,selected,selection_reasons,marker_ids,marker_count,selection_score,score_area,score_reprojection,score_border,score_distance,tie_breaker
moving_frame_000158,True,quality_valid_graph,12,1,23.03302585055658,,,,,original input order
moving_frame_000159,True,quality_valid_graph,"12,13",2,71.80899048858414,,,,,original input order
moving_frame_000160,True,quality_valid_graph,"12,20",2,39.863830332246806,,,,,original input order
moving_frame_000161,True,quality_valid_graph,"11,12,20",3,107.5749973632237,,,,,original input order
moving_frame_000162,True,quality_valid_graph,"11,12,20",3,129.13811068335508,,,,,original input order
moving_frame_000163,True,quality_valid_graph,"12,20",2,95.74627023486629,,,,,original input order
moving_frame_000164,True,quality_valid_graph,"12,20",2,47.4561145389743,,,,,original input order
moving_frame_000165,True,quality_valid_graph,20,1,29.45999352380293,,,,,original input order
moving_frame_000166,True,quality_valid_graph,20,1,36.06456822784636,,,,,original input order
moving_frame_000167,True,quality_valid_graph,20,1,35.13500371920244,,,,,original input order
moving_frame_000168,True,quality_valid_graph,20,1,31.394791539301643,,,,,original input order
moving_frame_000169,True,quality_valid_graph,20,1,52.65785496979977,,,,,original input order
moving_frame_000170,True,quality_valid_graph,20,1,38.376621591139596,,,,,original input order
moving_frame_000171,True,quality_valid_graph,20,1,62.56385019713563,,,,,original input order
moving_frame_000172,True,quality_valid_graph,20,1,72.45658423817775,,,,,original input order
moving_frame_000173,True,quality_valid_graph,20,1,73.81773344766891,,,,,original input order
