group,variant,aligned_est_pitch_deg,aligned_est_roll_deg,aligned_est_x_m,aligned_est_y_m,aligned_est_yaw_deg,aligned_est_z_m,alignment,camera,gt_pitch_deg,gt_roll_deg,gt_x_m,gt_y_m,gt_yaw_deg,gt_z_m,method,rotation_error_deg,source_file,translation_error_cm,status
moving_cam/motion_blur,moving_blur_k00_baseline,0.637621814,-105.899601439,-4.079592888,0.454215520,-113.536029696,2.160294705,SE3_all_static_cameras_no_scale,cam_edge_1,0.768085533,-106.364113762,-3.974167320,0.475086500,-114.559656476,2.131542680,AP01,1.126469,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,11.125119,
moving_cam/motion_blur,moving_blur_k00_baseline,0.932557149,-110.187510270,-3.234538014,-1.545328488,-60.383753012,2.103500529,SE3_all_static_cameras_no_scale,cam_edge_3,1.967429539,-109.390448856,-3.227355830,-1.563214260,-59.899952457,2.054210900,AP01,1.385925,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,5.292402,
moving_cam/motion_blur,moving_blur_k00_baseline,3.371415103,-109.758857382,5.927642120,0.333471257,112.416986296,2.108472929,SE3_all_static_cameras_no_scale,cam_edge_5,4.073179101,-109.270651886,5.858858870,0.348419540,113.876819191,2.138761570,AP01,1.664136,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,7.662890,
moving_cam/motion_blur,moving_blur_k00_baseline,,,0.6126576421532579,-1.7612639060922317,,2.0853461500552983,SE3_available_static_cameras_no_scale,cam_edge_0,,,0.58780793,-1.734555260428118,,2.087328299644237,AP02,1.1939975483269536,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3.6534762409298387,OK
moving_cam/motion_blur,moving_blur_k00_baseline,,,-4.089483129666693,0.4750112687314397,,2.1672848920594587,SE3_available_static_cameras_no_scale,cam_edge_1,,,-3.97416732,0.47508649956281324,,2.131542680097442,AP02,0.6272601560183334,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,12.072798902781702,OK
moving_cam/motion_blur,moving_blur_k00_baseline,,,-3.2625535096910347,-1.593916689775386,,2.050475761794128,SE3_available_static_cameras_no_scale,cam_edge_3,,,-3.22735583,-1.5632142604213257,,2.0542108996793798,AP02,0.8065329745537833,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4.685581158080165,OK
moving_cam/motion_blur,moving_blur_k00_baseline,,,5.984522647204469,0.40590584541088015,,2.108736645583636,SE3_available_static_cameras_no_scale,cam_edge_5,,,5.85885887,0.34841953956133265,,2.138761570071462,AP02,0.6014584011480503,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,14.141271637311064,OK
moving_cam/motion_blur,moving_blur_k00_baseline,-1.524739165,-112.843764329,0.598369149,-1.758211344,-0.903939542,2.092589056,SE3_all_static_cameras_no_scale,cam_edge_0,-1.496743718,-112.764861788,0.587807930,-1.734555260,-0.827099911,2.087328300,AP03,0.115036,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,2.643530,
moving_cam/motion_blur,moving_blur_k00_baseline,0.800255221,-106.362258232,-4.046655734,0.495283925,-114.539254376,2.133701400,SE3_all_static_cameras_no_scale,cam_edge_1,0.768085533,-106.364113762,-3.974167320,0.475086500,-114.559656476,2.131542680,AP03,0.038125,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,7.528058,
moving_cam/motion_blur,moving_blur_k00_baseline,2.018679261,-109.354513202,-3.275879010,-1.580468930,-59.883018019,2.050103551,SE3_all_static_cameras_no_scale,cam_edge_3,1.967429539,-109.390448856,-3.227355830,-1.563214260,-59.899952457,2.054210900,AP03,0.064516,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,5.166326,
moving_cam/motion_blur,moving_blur_k00_baseline,4.064612929,-109.222685264,5.969309245,0.369132867,113.923081147,2.135449443,SE3_all_static_cameras_no_scale,cam_edge_5,4.073179101,-109.270651886,5.858858870,0.348419540,113.876819191,2.138761570,AP03,0.064803,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,11.242463,
moving_cam/motion_blur,moving_blur_k09_mild,-0.509775311,-111.351415387,0.660124331,-1.823098746,0.272154441,2.013948573,SE3_all_static_cameras_no_scale,cam_edge_0,-1.496743718,-112.764861788,0.587807930,-1.734555260,-0.827099911,2.087328300,AP01,2.057806,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,13.584622,
moving_cam/motion_blur,moving_blur_k09_mild,0.293333260,-105.527165653,-4.071800775,0.500188603,-114.105295461,2.149060777,SE3_all_static_cameras_no_scale,cam_edge_1,0.768085533,-106.364113762,-3.974167320,0.475086500,-114.559656476,2.131542680,AP01,1.060784,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,10.231955,
