group,variant,method,evaluation,entity_type,entity_id,translation_error_cm,rotation_error_deg,delta_x_cm,delta_y_cm,delta_z_cm,est_x_m,est_y_m,est_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_x_m,gt_y_m,gt_z_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,interpretation,status
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,1,9.367791629225565,0.8224989695613047,-7.291018171743557,-3.670491396692044,4.596092572468868,-2.3229101817174356,-1.0617049142191977,1.2759609255144577,0.34306520674374325,-0.6897628655494351,-90.29024018564722,-2.25,-1.0250000002522772,1.229999999789769,-1.8363890089430702e-07,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,2,5.679116735354296,1.6698528616122361,-4.062377110932736,-2.9257990715610527,2.681260691391929,-1.1406237711093274,-1.054257990859183,0.7268126067036885,68.63441118417855,-0.18203494405694862,-89.41565123542959,-1.1,-1.0250000001435724,0.6999999997897692,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,3,2.3177198238910997,1.4685428853847724,0.33032677582734427,2.2077143906279018,-0.6234633691274694,0.10330326775827345,0.7320771438242376,0.3937653664543488,88.70022275123495,-0.34198095001344647,-0.5879674663810158,0.1,0.7099999999179586,0.4000000001456235,90.00000001175157,-0.0,0.0,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,4,5.024280861329578,0.8938988371354977,0.6573371261450855,4.09940506549229,2.8295201333671693,0.7065733712614508,0.7509940503267575,1.6282952014792953,89.22730373264616,-0.44751380737410806,0.04472090697690143,0.7,0.7099999996718346,1.6000000001456236,90.00000001175157,-0.0,0.0,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,5,10.737828457768558,1.0829404896440782,9.481967034440974,-3.7891630687328703,3.3219729656921992,1.9948196703444097,-1.517891630830901,0.733219729353369,67.93365421623287,-0.5810740569987503,-89.67372288501458,1.9,-1.4800000001435722,0.699999999696447,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,6,6.80713190531996,2.145095345595188,5.781334139222349,2.2412541539642947,2.8089144103060404,2.0278133413922235,0.022412541340692645,0.9980891441030606,67.59618599701489,-0.44800181863669913,-87.96827749410252,1.97,-1.9895030067829111e-10,0.9700000000000002,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,7,6.12756632966481,1.5567868063756476,4.5057650242567915,3.3266651742890954,2.4856487058307675,2.015057650242568,0.4682666515439407,0.9948564871475278,67.00260423476732,-1.4648914983721384,-90.51998813776547,1.97,0.43499999980104975,0.9700000000892202,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,8,14.291702505080126,1.6046488061392659,13.608378456068682,-1.0617086190199965,4.235276980129865,2.7860837845606867,-1.0356170863973546,1.0523527695910677,68.03816587737612,-1.2633708822543936,-90.26371508291037,2.65,-1.0250000002071546,1.009999999789769,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,9,15.963448188605398,4.392339747216027,15.278334943932448,0.829192617205296,4.551549078596628,3.1727833494393245,-0.011708074037152544,1.0655154907818642,65.15998366737865,1.4938094093758456,93.63159408514504,3.02,-0.020000000209205504,1.019999999995898,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,10,17.109121097472507,0.8813846122767286,16.0527848254989,-4.394964402460211,3.964140761289725,3.180527848254989,-1.5239496442338076,1.059641407309344,67.27401494553929,-0.19751646275150747,89.16250799668822,3.02,-1.4800000002092055,1.0199999996964468,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,11,20.503802297555417,0.4903566982144893,19.7191303196961,-0.3949763128280215,5.6040879547331945,4.197191303196961,-0.503949763360047,1.1860408794447803,0.3080494917016603,-0.36956265989954706,90.09376907491253,4.0,-0.5000000002317668,1.1299999998974484,-1.8363890089430702e-07,-1.1751560817591656e-08,90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,12,20.385882086757025,0.4289585873525768,19.678982491681385,-2.9301549631844725,4.44252500713096,4.236789824916814,-1.5093015498410502,1.0644252497677564,66.70537315433262,0.16018994360594388,179.8701211499433,4.04,-1.4800000002092055,1.0199999996964468,67.08168818301552,-4.2185671112750317e-17,179.99999979432002,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,13,19.900677379930126,1.4238228881456643,19.209870628356196,2.0297314497287444,4.785187651896483,4.242098706283562,0.2502973143188475,0.9178518765661388,1.2326554806049093,-0.029580405364734143,90.7117046805659,4.05,0.22999999982156005,0.8700000000471739,-1.8363890089430702e-07,-1.1751560817591656e-08,90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,14,,,,,,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,Marker 14 defines the AP02 coordinate system. Its pose relative to itself is not an estimate.,GAUGE_ANCHOR_NOT_ESTIMATED
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_0,5.035048015648197,0.6289053811520293,2.4244973043357376,-4.1314478692138,1.550696567714116,0.6120529030433574,-1.775869739120256,2.102835265321378,-112.74768729446932,-1.5214047838958928,-0.19936508325828003,0.58780793,-1.734555260428118,2.087328299644237,-112.76486178785166,-1.4967437175878098,-0.8270999106551793,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_1,10.284403045279177,1.2232559837459036,-9.603815851395447,2.7508432015237894,2.443057259022696,-4.070205478513954,0.5025949315780511,2.155973252687669,-105.70329335729976,0.21857173658490958,-115.42445849518901,-3.97416732,0.47508649956281324,2.131542680097442,-106.3641137615459,0.7680855332147687,-114.5596564761897,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_3,3.5759216464259698,1.4110052632906684,-3.3997729287202016,-1.0964343963227652,-0.16306829575185589,-3.261353559287202,-1.5741786043845534,2.052580216721861,-109.03046288924885,1.2095782450992025,-61.02449134108414,-3.22735583,-1.5632142604213257,2.0542108996793798,-109.39044885636157,1.9674295392793395,-59.899952456623105,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_5,14.419143168198259,0.7101218682425678,14.407075980945816,-0.4978032108300834,-0.31629629706952933,6.002929629809458,0.3434415074530318,2.135598607100767,-109.10456159410991,3.895698236318411,113.22103594773291,5.85885887,0.34841953956133265,2.138761570071462,-109.27065188628556,4.0731791005917914,113.8768191914187,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,0,5.195805132969369,3.376256640891563,-5.14539182878071,-0.631415761477986,-0.35021142794705584,-2.601453918287807,-0.026314157774760573,0.7764978857164274,63.70877809567565,0.07451046799295753,89.8672464576753,-2.55,-0.020000000159980713,0.779999999995898,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,1,5.167397162096449,0.7551611990593908,-4.481994113098908,-1.7780091157166167,1.8580650649042907,-2.294819941130989,-1.0427800914094434,1.248580650438812,0.7288477667696992,-0.19625509692805426,-90.02438110944328,-2.25,-1.0250000002522772,1.229999999789769,-1.8363890089430702e-07,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,2,3.916728339155501,1.2258494248219511,-3.344734100828295,-1.540194500603831,1.3346593489763081,-1.133447341008283,-1.0404019451496107,0.7133465932795323,68.25340183451459,0.09891789237301019,-89.65255719385017,-1.1,-1.0250000001435724,0.6999999997897692,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,3,0.8651079852885111,0.6752479451999002,-0.4247453460195713,0.7473370894605202,0.09741915602867746,0.09575254653980429,0.7174733708125638,0.40097419170591025,89.83754792316384,-0.47653191002134465,0.45066262812113234,0.1,0.7099999999179586,0.4000000001456235,90.00000001175157,-0.0,0.0,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,4,2.4321829501763874,0.5689981211816268,0.5979887588965949,0.4472515018670187,2.314711524453905,0.7059798875889659,0.7144725146905048,1.6231471153901627,90.09272979927714,-0.13561510263589033,0.5446551716591078,0.7,0.7099999996718346,1.6000000001456236,90.00000001175157,-0.0,0.0,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,5,5.404664631701637,0.3198742389252235,4.662921779147355,-2.299112394309555,1.4770384087937738,1.9466292177914735,-1.5029911240866678,0.7147703837843847,67.00141778861565,-0.1116274033906225,-90.28873950807407,1.9,-1.4800000001435722,0.699999999696447,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,6,3.539401183943034,1.2130395930176259,2.908098523210967,0.6193548768341903,1.9200841795966261,1.9990809852321096,0.0061935485693916026,0.9892008417959665,67.10493113365297,0.08841554203608161,-88.79039230926149,1.97,-1.9895030067829111e-10,0.9700000000000002,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,7,3.298931489411268,0.9809717273508791,2.4964570057778745,1.2188128276566623,1.7790859117174151,1.9949645700577787,0.4471881280776164,0.9877908592063943,66.99328053571574,-0.09297786551769818,-89.02738275430586,1.97,0.43499999980104975,0.9700000000892202,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,8,6.5741102094942345,1.287775585737395,5.866495496144752,-0.9320816485325345,2.8168030532429,2.7086649549614474,-1.03432081669248,1.038168030322198,66.98723668097222,-0.5803993517387703,-91.14520642037222,2.65,-1.0250000002071546,1.009999999789769,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,9,10.82502915539358,0.3667191646805271,10.733775235421161,-1.0477485853161057,-0.9324957439841297,3.1273377523542116,-0.03047748606236656,1.0106750425560567,67.36073165538413,0.2101316744864682,89.88887516985265,3.02,-0.020000000209205504,1.019999999995898,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,10,11.435607350976214,0.39350148243352223,11.072366438469983,-2.845303146398992,-0.28296102741682816,3.1307236643847,-1.5084530316731954,1.0171703894222786,67.27313456184835,0.2694233032681227,90.21399931501465,3.02,-1.4800000002092055,1.0199999996964468,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,11,12.201672199285708,0.6834960862413705,12.076978383331305,-1.662039897184342,-0.5148018721193415,4.120769783833313,-0.5166203992036102,1.124851981176255,0.6582695512278712,0.17889079027306884,90.04400883781481,4.0,-0.5000000002317668,1.1299999998974484,-1.8363890089430702e-07,-1.1751560817591656e-08,90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,12,12.29836354777813,0.5366423736907396,12.06735685119753,-2.3145329104503176,-0.5211352853303097,4.160673568511975,-1.5031453293137087,1.0147886468431437,67.16963345521962,-0.38643869036890727,179.63787943904182,4.04,-1.4800000002092055,1.0199999996964468,67.08168818301552,-4.2185671112750317e-17,179.99999979432002,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
