frame_id,image_path,debug_image,detected_marker_count,detected_marker_ids,pnp_success_count,pnp_failure_count,median_pnp_reprojection_rmse_px
280,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000280.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000280.png,1,18,1,0,1.3824656346632764
281,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000281.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000281.png,1,18,1,0,0.6484583427988927
282,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000282.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000282.png,4,0 4 18 20,4,0,0.8504040770117232
283,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000283.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000283.png,5,0 2 4 18 20,5,0,0.7418056057641685
284,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000284.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000284.png,1,4,1,0,0.8532409160415753
285,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000285.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000285.png,5,0 2 3 4 20,5,0,0.2716438302017491
286,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000286.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000286.png,5,0 2 3 4 20,5,0,0.19993866309605438
287,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000287.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000287.png,1,2,1,0,0.31637651986684356
288,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000288.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000288.png,6,0 2 3 4 19 20,6,0,0.45360549897658975
289,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000289.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000289.png,2,2 3,2,0,0.7982194281908487
290,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000290.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000290.png,2,2 3,2,0,0.7884812062342812
291,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000291.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000291.png,5,0 2 3 4 20,5,0,0.17472038154065433
292,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000292.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000292.png,5,0 2 3 4 20,5,0,0.42367814746105575
