marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
14,side_12,1,2,0.21489506642445036,0.17,0.791083773250635,yes,0.002419771558862416
14,side_23,2,3,0.21586094559422675,0.17,0.7875440345729066,yes,0.0011199671188659721
14,side_30,3,0,0.21460569568962928,0.17,0.7921504573944781,yes,0.00348645570270556
14,diag_02,0,2,0.30288869847660754,0.2404163056034262,0.7937447214525035,yes,0.0050807197607309895
14,diag_13,1,3,0.30546616216536715,0.2404163056034262,0.7870472588491633,yes,0.0016167428426092645
16,side_01,0,1,0.41408604883594474,0.17,0.4105426890809154,no,0.37812131261085713
16,side_12,1,2,0.3128632751609221,0.17,0.5433683448866283,no,0.2452956568051442
16,side_23,2,3,0.4116704465895776,0.17,0.4129516738651989,no,0.37571232782657366
16,side_30,3,0,0.30675540775027715,0.17,0.5541874591446266,no,0.2344765425471459
16,diag_02,0,2,0.5711820391386666,0.2404163056034262,0.4209101286972716,no,0.3677538729945009
16,diag_13,1,3,0.4545245578229622,0.2404163056034262,0.5289401891835042,no,0.25972381250826837
17,side_01,0,1,0.22213191277519573,0.17,0.7653110166662329,yes,0.02335298502553962
17,side_12,1,2,0.21488399510830203,0.17,0.791124531700556,yes,0.0024605300087834348
17,side_23,2,3,0.2218330519150884,0.17,0.7663420691028104,yes,0.02232193258896209
17,side_30,3,0,0.21486871342038744,0.17,0.7911807973057369,yes,0.00251679561396434
17,diag_02,0,2,0.30751647111930136,0.2404163056034262,0.7817997674347544,yes,0.006864234257018098
17,diag_13,1,3,0.31036980499364747,0.2404163056034262,0.7746124195565576,yes,0.014051582135214957
18,side_01,0,1,0.21747309689697333,0.17,0.7817058865011545,yes,0.006958115190618064
18,side_12,1,2,0.2151741999158868,0.17,0.7900575443824319,yes,0.0013935426906593884
18,side_23,2,3,0.2156487358662792,0.17,0.7883190194326697,yes,0.00034498225910284397
18,side_30,3,0,0.2151910330358806,0.17,0.7899957428600405,yes,0.0013317411682679525
18,diag_02,0,2,0.3045634862637598,0.2404163056034262,0.789379937013262,yes,0.0007159353214895026
18,diag_13,1,3,0.30601215125854414,0.2404163056034262,0.7856430034384576,yes,0.0030209982533149216
