mode,root_camera,target_camera,root_marker,target_marker,root_frame,target_frame,quality,root_area_px2,target_area_px2,root_distance_m,target_distance_m,root_support_key,target_support_key,translation_deviation_m,rotation_deviation_deg,inlier,pose_support,x_m,y_m,z_m,support_keys
relay,cam_edge_1,cam_edge_0,2,3,114,52,0.6294894918007992,,,,,,,0.01205553831339467,0.6600028371973615,True,True,0.08187922548184101,-1.4335018120798588,5.057545186592983,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,114,120,0.6349995665735163,,,,,,,0.05752807769444952,1.1098890693090377,True,True,0.09845621927383397,-1.3976159626616256,5.020205462912828,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,114,121,0.6261103049100422,,,,,,,0.04240041555932221,0.6082811260929476,True,True,0.08361054485357067,-1.3962298625048917,5.036350222902547,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,103,37,0.6794311299089958,,,,,,,0.08668727699864096,1.5494042435509772,True,True,0.15586456311129204,-1.320445753945142,4.948091181034528,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,103,128,0.6719740482423511,,,,,,,0.018369613965502827,1.2607030264931245,True,True,0.18607366360138095,-1.2954330006917858,4.870362328463166,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,103,129,0.6785685718237612,,,,,,,0.03375257331998231,0.5564687236134169,True,True,0.19338137629270125,-1.2986107803728157,4.838477535432059,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,103,130,0.6779472236273468,,,,,,,0.02392662817642412,0.4160811603287793,True,True,0.18179676985046345,-1.3115535789608812,4.846149401068412,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,103,131,0.677657702950978,,,,,,,0.012747992277419731,0.7640926857759816,True,True,0.18135610947062308,-1.3175623749746568,4.860050150405379,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,103,132,0.6788482918906316,,,,,,,0.017334703404325743,1.0699245116710276,True,True,0.17844550878194299,-1.3260644900810643,4.871800084506837,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,103,133,0.6856274397516878,,,,,,,0.01716558828926449,1.1390483116040608,True,True,0.18856986675121845,-1.2966725825257321,4.872551620937296,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,103,134,0.6817198103848893,,,,,,,0.0247039405790253,0.3679245061932542,True,True,0.18449717151266165,-1.3200360342581863,4.845448417085547,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,105,37,0.6848782998131381,,,,,,,0.08109358995206528,1.851126503836944,True,True,0.15026648028620615,-1.3275416026006848,4.938007389992552,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,105,128,0.6773614328510613,,,,,,,0.01644724015646273,1.58624441036461,True,True,0.1808112317598446,-1.3021989958086768,4.8605169225904685,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,105,129,0.684008826383234,,,,,,,0.04080987214434631,0.8716504617719286,True,True,0.18829020159680776,-1.305253938847999,4.828659846322849,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,105,130,0.6833824966823719,,,,,,,0.03528847736183591,0.7327878838866078,True,True,0.1766987079930259,-1.3182504999504903,4.8362297432572685,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,105,131,0.6830906548460718,,,,,,,0.025453205787676708,1.0567448473242897,True,True,0.1762017672111137,-1.3243059910629607,4.850108313806168,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,105,132,0.6842907890360895,,,,,,,0.02646778053418933,1.3136142794468233,True,True,0.1732521658590781,-1.332853829822307,4.861815269578205,"[None, None, None, None]"
