canonical_camera,physical_camera,source_topic,frame_index,timestamp_ns,width,height,marker_count,marker_ids,marker_total_area_px2,sharpness,candidate_preview
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,74,1783681583669493981,1280,720,3,15 16 19,14323.5,138.37515622692345,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0074_t1783681583669493981.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,75,1783681583735269196,1280,720,3,15 16 19,14347.0,138.42199435556194,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0075_t1783681583735269196.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,76,1783681583803121742,1280,720,3,15 16 19,14378.0,138.97106984200184,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0076_t1783681583803121742.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,77,1783681583870031612,1280,720,3,15 16 19,14359.0,138.49618897381063,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0077_t1783681583870031612.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,78,1783681583937094037,1280,720,3,15 16 19,14323.5,137.89280379503037,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0078_t1783681583937094037.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,79,1783681584004857999,1280,720,3,15 16 19,14323.5,138.9683550260144,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0079_t1783681584004857999.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,80,1783681584071089172,1280,720,3,15 16 19,14323.5,139.17025603477572,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0080_t1783681584071089172.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,81,1783681584138619723,1280,720,3,15 16 19,14354.5,138.51814124552294,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0081_t1783681584138619723.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,82,1783681584209798744,1280,720,3,15 16 19,14289.5,138.15238053497976,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0082_t1783681584209798744.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,83,1783681584273342738,1280,720,3,15 16 19,14359.0,138.180794270532,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0083_t1783681584273342738.jpg
