frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok
83,6,0.3333333333333333,0.0,2.2,0.0,0.33333333333333337,-5.6,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0083.png,True
84,6,0.4166666666666667,0.0,2.2,0.0,0.3666666666666667,-5.7,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0084.png,True
85,7,0.5,0.0,2.2,0.0,0.4,-5.8,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0085.png,True
86,7,0.5125,0.0,2.2,0.0,0.41250000000000003,-5.8999999999999995,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0086.png,True
87,7,0.525,0.0,2.2,0.0,0.42500000000000004,-6.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0087.png,True
88,7,0.5375,0.0,2.2,0.0,0.4375,-6.1,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0088.png,True
89,7,0.55,0.0,2.2,0.0,0.45,-6.199999999999999,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0089.png,True
90,7,0.5625,0.0,2.2,0.0,0.4625,-6.3,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0090.png,True
91,7,0.575,0.0,2.2,0.0,0.475,-6.3999999999999995,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0091.png,True
92,7,0.5875,0.0,2.2,0.0,0.4875,-6.5,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0092.png,True
93,8,0.6,0.0,2.2,0.0,0.5,-6.6,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0093.png,True
94,8,0.5789473684210527,0.02631578947368421,2.2,0.0,0.5,-6.694736842105263,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0094.png,True
95,8,0.5578947368421052,0.05263157894736842,2.2,0.0,0.5,-6.789473684210526,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0095.png,True
96,8,0.5368421052631579,0.07894736842105263,2.2,0.0,0.5,-6.88421052631579,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0096.png,True
97,8,0.5157894736842106,0.10526315789473684,2.2,0.0,0.5,-6.978947368421053,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0097.png,True
98,8,0.49473684210526314,0.13157894736842105,2.2,0.0,0.5,-7.073684210526316,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0098.png,True
99,8,0.4736842105263158,0.15789473684210525,2.2,0.0,0.5,-7.168421052631579,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0099.png,True
100,8,0.4526315789473684,0.18421052631578946,2.2,0.0,0.5,-7.263157894736842,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0100.png,True
101,8,0.43157894736842106,0.21052631578947367,2.2,0.0,0.5,-7.3578947368421055,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0101.png,True
102,8,0.4105263157894737,0.23684210526315788,2.2,0.0,0.5,-7.4526315789473685,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0102.png,True
103,8,0.3894736842105263,0.2631578947368421,2.2,0.0,0.5,-7.5473684210526315,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0103.png,True
104,8,0.3684210526315789,0.2894736842105263,2.2,0.0,0.5,-7.6421052631578945,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0104.png,True
105,8,0.3473684210526316,0.3157894736842105,2.2,0.0,0.5,-7.7368421052631575,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0105.png,True
106,8,0.3263157894736842,0.34210526315789475,2.2,0.0,0.5,-7.831578947368421,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0106.png,True
107,8,0.30526315789473685,0.3684210526315789,2.2,0.0,0.5,-7.926315789473684,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0107.png,True
108,8,0.28421052631578947,0.39473684210526316,2.2,0.0,0.5,-8.021052631578948,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0108.png,True
109,8,0.26315789473684215,0.42105263157894735,2.2,0.0,0.5,-8.115789473684211,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0109.png,True
110,8,0.24210526315789477,0.4473684210526316,2.2,0.0,0.5,-8.210526315789474,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0110.png,True
111,8,0.2210526315789474,0.47368421052631576,2.2,0.0,0.5,-8.305263157894737,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0111.png,True
112,9,0.2,0.5,2.2,0.0,0.5,-8.4,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0112.png,True
113,9,0.10000000000000002,0.4916666666666667,2.2,0.0,0.4916666666666667,-8.308333333333334,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0113.png,True
