residual_evaluation_index,source,solver_iteration,solver_nfev,elapsed_seconds,robust_cost,reprojection_rmse_px,mean_reprojection_error_px,maximum_reprojection_error_px,parameter_step_norm
65374,solver_residual_call,,,1312.2629431739915,4566.798982899905,5.619658550817591,3.771694268780181,51.121179517587144,3.437711386716054e-08
65375,solver_residual_call,,,1312.2819915929867,4566.79898273182,5.619658553203657,3.771694256041007,51.121179517587144,2.1073424255447017e-08
65376,solver_residual_call,,,1312.3011207029922,4566.798983338399,5.619658547922388,3.77169428227403,51.121179517587144,3.393422046128104e-08
65377,solver_residual_call,,,1312.3200824179949,4566.798982924945,5.619658550098999,3.77169427283062,51.121179517587144,7.165103251354829e-08
65378,solver_residual_call,,,1312.3389928539982,4566.798983096824,5.6196585513339,3.7716942646577394,51.121179517587144,7.668426071923508e-08
65379,solver_residual_call,,,1312.3579463419883,4566.7989834106975,5.619658557976978,3.7716942582177686,51.121179517587144,5.150598389293583e-08
65380,solver_residual_call,,,1312.3763130219886,4566.798982952777,5.619658552317953,3.7716942692108235,51.121179517587144,3.462396404972337e-08
65381,solver_residual_call,,,1312.3951380279905,4566.798982746729,5.6196585512777135,3.7716942694704803,51.121179517587144,2.1073424255447017e-08
65382,solver_residual_call,,,1312.4139885819895,4566.798983327974,5.619658549191193,3.771694274241123,51.121179517587144,3.234377289552271e-08
65383,solver_residual_call,,,1312.433073572989,4566.798982963846,5.619658552525936,3.7716942666857456,51.121179517587144,6.612742146280927e-08
65384,solver_residual_call,,,1312.452019517994,4566.798983068337,5.619658547842713,3.7716942748906455,51.121179517587144,7.214851996366638e-08
65385,solver_residual_call,,,1312.4730939209985,4566.798983533679,5.619658552289543,3.771694226421019,51.121179517587144,5.139576858876065e-08
65386,solver_residual_call,,,1312.4930247979937,4566.798983057805,5.619658556331412,3.771694259759336,51.121179517587144,3.474077618497883e-08
65387,solver_residual_call,,,1312.5125841539993,4566.798982877659,5.619658560356354,3.771694254538849,51.121179517587144,2.1073424255447017e-08
65388,solver_residual_call,,,1312.531865811994,4566.798983279402,5.61965854493382,3.771694279730933,51.121179517587144,3.2500124726762024e-08
65389,solver_residual_call,,,1312.5511789579905,4566.7989830621145,5.61965855642217,3.771694255090691,51.121179517587144,6.209809991046738e-08
65390,solver_residual_call,,,1312.5703973129857,4566.798983030989,5.61965854961878,3.771694279953218,51.121179517587144,6.829430705333809e-08
65391,solver_residual_call,,,1312.5896823269868,4566.798983448589,5.619658543010461,3.771694390013676,51.121179517587144,5.1153411515650276e-08
65392,solver_residual_call,,,1312.6088134649908,4566.798983106071,5.619658546968612,3.7716942920952334,51.121179517587144,3.459138980843645e-08
65393,solver_residual_call,,,1312.6280139029986,4566.7989829781645,5.619658547164142,3.7716942662818225,51.121179517587144,2.1073424255447017e-08
65394,solver_residual_call,,,1312.6471123169904,4566.798983230571,5.619658550806819,3.771694281241392,51.121179517587144,3.3153527621025093e-08
65395,solver_residual_call,,,1312.6662742569897,4566.798983097708,5.619658547158975,3.7716942932637147,51.121179517587144,5.918748652936534e-08
65396,solver_residual_call,,,1312.6851385929913,4566.7989830667375,5.619658551404889,3.7716942452741016,51.121179517587144,6.469091895225449e-08
65397,solver_residual_call,,,1312.7034990289976,4566.798983633199,5.619658530086206,3.7716944307374396,51.121179517587144,5.044055161929069e-08
65398,solver_residual_call,,,1312.7225952109875,4566.79898320097,5.619658548371816,3.7716943058942953,51.121179517587144,3.4748030599833433e-08
65399,solver_residual_call,,,1312.7416224499902,4566.798983064314,5.619658556032245,3.7716942687667343,51.121179517587144,2.1073424255447017e-08
65400,solver_residual_call,,,1312.760443798994,4566.798983192718,5.619658545706051,3.7716942826974775,51.121179517587144,3.411904688962668e-08
65401,solver_residual_call,,,1312.7790453899943,4566.798983178985,5.619658548703752,3.7716943035108894,51.121179517587144,5.632180824960903e-08
65402,solver_residual_call,,,1312.797438330992,4566.79898301793,5.619658555046188,3.7716942346055315,51.121179517587144,6.215281279906807e-08
65403,solver_residual_call,,,1312.8163701729936,4566.798983744926,5.619658550571892,3.7716942917507503,51.121179517587144,5.123326648401117e-08
65404,solver_residual_call,,,1312.8351585419878,4566.798983232793,5.619658550317236,3.771694296949445,51.121179517587144,3.484252271987417e-08
65405,solver_residual_call,,,1312.854563350993,4566.798983063036,5.619658549694512,3.7716943184459595,51.121179517587144,2.1073424255447017e-08
65406,solver_residual_call,,,1312.8738551059942,4566.7989832125395,5.619658549865818,3.7716942525813,51.121179517587144,3.333360442316737e-08
65407,solver_residual_call,,,1312.8924194639985,4566.798983198771,5.619658549854128,3.7716943039694546,51.121179517587144,5.3667286943033e-08
65408,solver_residual_call,,,1312.9113567199965,4566.798982979769,5.619658549455649,3.7716942703506278,51.121179517587144,6.019230800467982e-08
65409,solver_residual_call,,,1312.9304663479998,4566.798984083155,5.6196585535019326,3.771694237065322,51.121179517587144,5.125916630333158e-08
65410,solver_residual_call,,,1312.949635670986,4566.798983351671,5.619658553952745,3.7716942668769637,51.121179517587144,3.4893063795231e-08
65411,solver_residual_call,,,1312.968718352,4566.798983114686,5.619658554375811,3.7716942798782527,51.121179517587144,2.1073424255447017e-08
65412,solver_residual_call,,,1312.9873214199906,4566.798983207435,5.619658547654526,3.771694267079997,51.121179517587144,3.449606813082688e-08
65413,solver_residual_call,,,1313.0062170789897,4566.798983294463,5.619658552960959,3.7716942705755767,51.121179517587144,5.22910793315732e-08
65414,solver_residual_call,,,1313.0253982049908,4566.798982892213,5.619658548668635,3.7716942824997868,51.121179517587144,5.836998398425255e-08
65415,solver_residual_call,,,1313.0443524519942,4566.798984115493,5.619658539235295,3.771694329102663,51.121179517587144,5.126289162366327e-08
65416,solver_residual_call,,,1313.0636978369876,4566.798983391594,5.6196585466656,3.77169428917308,51.121179517587144,3.477494066597153e-08
65417,solver_residual_call,,,1313.0828658949904,4566.798983122101,5.6196585491132565,3.7716942729994045,51.121179517587144,2.1073424255447017e-08
65418,solver_residual_call,,,1313.101974567995,4566.798983220222,5.619658549285599,3.7716942764074903,51.121179517587144,3.613879583344289e-08
65419,solver_residual_call,,,1313.121061013997,4566.7989832982985,5.619658547094257,3.7716942841490972,51.121179517587144,5.229384538468347e-08
65420,solver_residual_call,,,1313.1399279269972,4566.798982881887,5.619658552508824,3.771694256876812,51.121179517587144,5.7148809146715596e-08
65421,solver_residual_call,,,1313.158930415986,4566.798984197695,5.619658519027887,3.771694298867007,51.121179517587144,5.098326283753342e-08
65422,solver_residual_call,,,1313.177866580998,4566.798983365704,5.619658537616406,3.7716942847179658,51.121179517587144,3.493049733617509e-08
65423,solver_residual_call,,,1313.196422996989,4566.798983030429,5.619658545376183,3.7716942793355703,51.121179517587144,2.1405589005054988e-08
65424,solver_residual_call,,,1313.2153043209983,4566.798983276845,5.619658550324339,3.7716942689695614,51.121179517587144,4.0588231317010865e-08
65425,solver_residual_call,,,1313.2343983799947,4566.798983269155,5.619658542213154,3.771694280539332,51.121179517587144,5.323817318754426e-08
65426,solver_residual_call,,,1313.2534295259975,4566.798982877438,5.619658557639662,3.771694265789122,51.121179517587144,5.4553711264284494e-08
65427,solver_residual_call,,,1313.2725432749867,4566.798982565886,5.619658542586846,3.771694270524629,51.121179517587144,4.969402068110023e-08
65428,solver_residual_call,,,1313.2917373489909,4566.798983023422,5.619658551426448,3.771694274344349,51.121179517587144,3.3531717097406954e-08
65429,solver_residual_call,,,1313.3109347439895,4566.798983148698,5.619658557943927,3.771694285899398,51.121179517587144,2.1073424255447017e-08
65430,solver_residual_call,,,1313.3301390939887,4566.7989833087695,5.619658548017118,3.7716942590378144,51.121179517587144,3.866007289990782e-08
65431,solver_residual_call,,,1313.3492723799864,4566.798983227756,5.6196585570759785,3.771694280020446,51.121179517587144,5.1870404870749364e-08
65432,solver_residual_call,,,1313.3684066299902,4566.7989833168995,5.619658551018239,3.771694271494131,51.121179517587144,4.753603185524104e-08
65433,solver_residual_call,,,1313.3871364009974,4566.7989858869505,5.619658603572856,3.7716942681179666,51.121179517587144,4.215114204508925e-08
65434,solver_residual_call,,,1313.4062786329887,4566.7989836334455,5.619658544766502,3.7716942782773843,51.121179517587144,3.4015751143288535e-08
65435,solver_residual_call,,,1313.4253995789913,4566.798982739373,5.619658517128233,3.7716942877652957,51.121179517587144,2.1073424255447017e-08
65436,solver_residual_call,,,1313.4445540249872,4566.798983963247,5.619658592516841,3.771694252971337,51.121179517587144,4.1368076855408556e-08
65437,solver_residual_call,,,1313.4640361019992,4566.798983732349,5.619658546725254,3.771694277940072,51.121179517587144,5.5452530955215263e-08
65438,solver_residual_call,,,1313.4837753509928,4566.798982485253,5.61965853815361,3.7716942716731237,51.121179517587144,5.0154076339213704e-08
65439,solver_residual_call,,,1313.503525957989,4566.798992849356,5.6196585528442276,3.7716942800906432,51.121179517587144,4.413601024970302e-08
65440,solver_residual_call,,,1313.5239193239977,4566.798983910135,5.6196585500339244,3.7716942744370465,51.121179517587144,3.521804429261221e-08
65441,solver_residual_call,,,1313.543902540987,4566.798982964534,5.619658549721859,3.7716942760429664,51.121179517587144,2.1073424255447017e-08
65442,solver_residual_call,,,1313.5634268859867,4566.798984368371,5.619658550200433,3.7716942707114383,51.121179517587144,3.5918348890335974e-08
65443,solver_residual_call,,,1313.5826382039959,4566.798986238587,5.61965855076302,3.771694276644308,51.121179517587144,5.469826685776091e-08
65444,solver_residual_call,,,1313.6016799309873,4566.798980848384,5.619658549078524,3.771694270963705,51.121179517587144,5.344424544936343e-08
65445,solver_residual_call,,,1313.6207856109977,4566.79899079957,5.61965855257564,3.7716941627221905,51.121179517587144,4.406953656413751e-08
65446,solver_residual_call,,,1313.6398708839988,4566.798983680417,5.619658549897519,3.771694271478394,51.121179517587144,3.5095562417648155e-08
65447,solver_residual_call,,,1313.65905582899,4566.798982625755,5.619658548999689,3.7716942920216803,51.121179517587144,2.1073424255447017e-08
65448,solver_residual_call,,,1313.677919728987,4566.798984400183,5.6196585509352355,3.771694245648766,51.121179517587144,4.308907034129102e-08
65449,solver_residual_call,,,1313.6965487329871,4566.79898489288,5.619658550046126,3.7716942573827126,51.121179517587144,6.003452415573064e-08
65450,solver_residual_call,,,1313.7155037539924,4566.798981373386,5.619658549170081,3.7716942962851787,51.121179517587144,5.4035522882719367e-08
65451,solver_residual_call,,,1313.7345225799945,4566.798989986042,5.619658561735872,3.771694220270571,51.121179517587144,4.4443144657228675e-08
65452,solver_residual_call,,,1313.7536938959965,4566.798983693852,5.619658550987363,3.7716942825446793,51.121179517587144,3.531176420674572e-08
65453,solver_residual_call,,,1313.7728380229964,4566.798982616686,5.619658549387794,3.7716943097336078,51.121179517587144,2.1073424255447017e-08
65454,solver_residual_call,,,1313.7919147699868,4566.798984231689,5.619658551077278,3.771694230919675,51.121179517587144,4.5689861971371355e-08
65455,solver_residual_call,,,1313.8107526799868,4566.798984711312,5.619658552412065,3.7716942722597606,51.121179517587144,6.204702480348262e-08
65456,solver_residual_call,,,1313.8298901679955,4566.798981528317,5.6196585470954,3.7716942874355017,51.121179517587144,5.518685588401039e-08
65457,solver_residual_call,,,1313.8489407829911,4566.7989908341915,5.61965855138746,3.7716943205101785,51.121179517587144,4.5581422877232926e-08
65458,solver_residual_call,,,1313.8678219369904,4566.798983865069,5.619658550035922,3.7716942665269926,51.121179517587144,3.5191420247010275e-08
65459,solver_residual_call,,,1313.886494069986,4566.79898252877,5.619658549898145,3.771694249220111,51.121179517587144,2.1073424255447017e-08
65460,solver_residual_call,,,1313.9051045599917,4566.798984320975,5.619658549773749,3.7716943008300574,51.121179517587144,4.5755445695460545e-08
65461,solver_residual_call,,,1313.9240824499866,4566.79898496948,5.619658550237911,3.771694276556233,51.121179517587144,6.055274091088127e-08
65462,solver_residual_call,,,1313.9431393089908,4566.79898131371,5.619658549454428,3.771694260770123,51.121179517587144,5.248271726891926e-08
65463,solver_residual_call,,,1313.9620744919957,4566.798991167304,5.619658549241975,3.771694270516707,51.121179517587144,4.465175504366847e-08
65464,solver_residual_call,,,1313.9811390179966,4566.7989839721,5.619658549815676,3.771694277411788,51.121179517587144,3.544723469370486e-08
65465,solver_residual_call,,,1314.0000920019957,4566.798982425243,5.619658549782566,3.7716942910470257,51.121179517587144,2.1073424255447017e-08
65466,solver_residual_call,,,1314.0191850359988,4566.79898446677,5.61965854990437,3.7716942521915766,51.121179517587144,4.611282869161034e-08
65467,solver_residual_call,,,1314.0382655559952,4566.798985143109,5.619658549599823,3.7716942855009874,51.121179517587144,5.8669799213927906e-08
65468,solver_residual_call,,,1314.05738608299,4566.7989812005935,5.619658549878145,3.7716942757925835,51.121179517587144,5.0183688403958894e-08
65469,solver_residual_call,,,1314.0766152179858,4566.79898815557,5.61965850778269,3.7716943501722273,51.121179517587144,4.4614101587601295e-08
65470,solver_residual_call,,,1314.095727641994,4566.798983652771,5.619658540012619,3.7716942844127765,51.121179517587144,3.509782127645599e-08
65471,solver_residual_call,,,1314.1147733909893,4566.798982560186,5.619658534838569,3.7716942722677147,51.121179517587144,2.1073424255447017e-08
65472,solver_residual_call,,,1314.1339105819934,4566.798984126394,5.619658564274393,3.771694277991543,51.121179517587144,4.432869702095534e-08
65473,solver_residual_call,,,1314.1531029869948,4566.798984320302,5.619658529043575,3.771694294748242,51.121179517587144,5.4287392758078574e-08
65474,solver_residual_call,,,1314.1722141719947,4566.79898191537,5.619658557596348,3.7716942545527594,51.121179517587144,4.5008626372834234e-08
65475,solver_residual_call,,,1314.1912552199938,4566.798988671526,5.619658408290634,3.7716942969932186,51.121179517587144,4.255390639190091e-08
65476,solver_residual_call,,,1314.2102837669954,4566.798983811004,5.619658525958727,3.771694274890215,51.121179517587144,3.4802806553287707e-08
65477,solver_residual_call,,,1314.2293026779953,4566.798982580596,5.619658533708082,3.771694265792852,51.121179517587144,2.1073424255447017e-08
65478,solver_residual_call,,,1314.2482670029858,4566.7989841849285,5.619658555872645,3.771694282342,51.121179517587144,4.3601844547931894e-08
65479,solver_residual_call,,,1314.2673110609903,4566.79898446189,5.619658492875014,3.7716942785589067,51.121179517587144,5.083081351411432e-08
65480,solver_residual_call,,,1314.286318073995,4566.798981793336,5.619658579704656,3.771694265575431,51.121179517587144,4.036041901750902e-08
65481,solver_residual_call,,,1314.30501489999,4566.798988893789,5.619658551414337,3.771694286525259,51.121179517587144,4.1854255839108885e-08
65482,solver_residual_call,,,1314.3241937569983,4566.798983862966,5.619658549993474,3.771694275079156,51.121179517587144,3.5349049109578436e-08
65483,solver_residual_call,,,1314.3431727309944,4566.798982473692,5.619658549592239,3.7716942724917915,51.121179517587144,2.1073424255447017e-08
65484,solver_residual_call,,,1314.3622919369955,4566.798984218614,5.619658550116043,3.771694274426724,51.121179517587144,4.604323120799868e-08
65485,solver_residual_call,,,1314.3813518989919,4566.798984007299,5.6196585500347815,3.771694275364209,51.121179517587144,4.9186250159954405e-08
65486,solver_residual_call,,,1314.400019666995,4566.798981723993,5.619658549394304,3.7716942698814235,51.121179517587144,3.73283902070584e-08
65487,solver_residual_call,,,1314.4190715429868,4566.798990960606,5.619658552006988,3.771694283878113,51.121179517587144,4.417807030835038e-08
65488,solver_residual_call,,,1314.4380654869892,4566.798984540283,5.619658550179379,3.7716942750444153,51.121179517587144,3.6078947535835764e-08
65489,solver_residual_call,,,1314.4573127339972,4566.79898277215,5.619658549645483,3.7716942720718407,51.121179517587144,2.1073424255447017e-08
65490,solver_residual_call,,,1314.4771253169893,4566.7989844586555,5.619658550204584,3.7716942755412193,51.121179517587144,4.7102434117320535e-08
65491,solver_residual_call,,,1314.4968519569957,4566.798984241916,5.619658550095054,3.771694274435623,51.121179517587144,4.7102434117320535e-08
