initialization_algorithm,initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_length,path_bottleneck_score,pnp_reprojection_rmse_px,area_px2,distance_m
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000086,marker,1,1,moving_frame_000086,86,0.8154274827853262,3,0.49693020722356035,0.10838694682525525,6981.0,1.370537376795773
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000090,marker,1,1,moving_frame_000090,90,0.8402678806322286,3,0.49693020722356035,0.30986829399074123,8791.0,1.194466254024381
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000093,marker,1,1,moving_frame_000093,93,0.7732381256493872,3,0.49693020722356035,0.5995679428582329,11439.0,1.0872598823081154
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000094,marker,1,1,moving_frame_000094,94,0.7687322982320232,3,0.49693020722356035,0.534546762790415,12444.0,1.061319627318692
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000096,marker,1,1,moving_frame_000096,96,0.8042839990041327,3,0.49693020722356035,0.17087730602206327,15080.0,1.0107563244875473
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000097,marker,1,1,moving_frame_000097,97,0.7988040742060196,3,0.49693020722356035,0.14354566881447386,16147.0,0.9860573340682656
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000098,marker,1,1,moving_frame_000098,98,0.783160479737513,3,0.49693020722356035,0.16450233718443583,17317.5,0.9732198943053684
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000101,marker,1,1,moving_frame_000101,101,0.7108680979689779,3,0.49693020722356035,0.4393574572924273,19375.0,0.9481537239689802
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000065,marker,19,19,moving_frame_000065,65,0.588225016230313,3,0.49693020722356035,0.17020336764793145,3715.5,2.2915779934803817
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000066,marker,19,19,moving_frame_000066,66,0.637978553335943,3,0.49693020722356035,0.15824510331253838,3624.0,2.2205355507980133
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000067,marker,19,19,moving_frame_000067,67,0.6447503385913939,3,0.49693020722356035,0.29713027884807786,3682.0,2.1222425914140253
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000068,marker,19,19,moving_frame_000068,68,0.6641329045366954,3,0.49693020722356035,0.24223623899933164,3858.0,2.043455548496069
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000074,marker,19,19,moving_frame_000074,74,0.8260745524001756,3,0.49693020722356035,0.25693322248712563,7857.0,1.4651051552300114
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000075,marker,19,19,moving_frame_000075,75,0.8263631709164169,3,0.49693020722356035,0.2463548235497026,9806.5,1.3471040897305742
