stage,key,legacy_rows,wizard_rows,legacy_cols,wizard_cols,count_equal,blob_equal,legacy_blob_sha256,wizard_blob_sha256,detail
descriptors,frame_0025.png,1320,1320,128,128,True,False,c2c8c78fa80695a91b4532f75a610ddcc7f322a49a1ffbbf119e772cfe258e61,93953475a1013b67e9d1c41ff1a40520b21210eb0d0b2f9b1145d46e42c45406,per-image SQLite feature record compared by semantic image name
keypoints,frame_0026.png,1310,1310,6,6,True,True,654cfa78d7902cd45b718898b459ea92bd60647f23fb600d9c2ae0d6f6da376b,654cfa78d7902cd45b718898b459ea92bd60647f23fb600d9c2ae0d6f6da376b,per-image SQLite feature record compared by semantic image name
descriptors,frame_0026.png,1310,1310,128,128,True,True,1847e4fa1e3f82c14bfcedbb91bfc82357e5efa0430780707aa612e44ab9d17d,1847e4fa1e3f82c14bfcedbb91bfc82357e5efa0430780707aa612e44ab9d17d,per-image SQLite feature record compared by semantic image name
keypoints,frame_0027.png,1106,1106,6,6,True,True,06d94a69724ee180d3aa4a99bf647b997845f41335cc11d21e066da7a458004f,06d94a69724ee180d3aa4a99bf647b997845f41335cc11d21e066da7a458004f,per-image SQLite feature record compared by semantic image name
descriptors,frame_0027.png,1106,1106,128,128,True,True,61229f6a849f5ade5d975fdfedee9c4dc8fc1127582e13142bcf84e05d5832b5,61229f6a849f5ade5d975fdfedee9c4dc8fc1127582e13142bcf84e05d5832b5,per-image SQLite feature record compared by semantic image name
keypoints,frame_0028.png,1130,1130,6,6,True,True,863079dd0fcf6e8134103213828338c2851cd12cee2071f03dc8e48f00d8fd3a,863079dd0fcf6e8134103213828338c2851cd12cee2071f03dc8e48f00d8fd3a,per-image SQLite feature record compared by semantic image name
descriptors,frame_0028.png,1130,1130,128,128,True,True,9e3ee2028d2c6ab55507c8a92c66eaacdaf032f5135cdce82615183ccd8f8715,9e3ee2028d2c6ab55507c8a92c66eaacdaf032f5135cdce82615183ccd8f8715,per-image SQLite feature record compared by semantic image name
keypoints,frame_0029.png,1059,1059,6,6,True,True,be9b2b1edb211c1e3c933e17b677c474d00005f3762e8d8c5f3346630550b950,be9b2b1edb211c1e3c933e17b677c474d00005f3762e8d8c5f3346630550b950,per-image SQLite feature record compared by semantic image name
descriptors,frame_0029.png,1059,1059,128,128,True,False,446ca6b151cf3c8688dfa55cb464820d0564ca81bd9ba196e3721738b494760e,8c6df2c5f7f7809416c92227535a18e12ae1eaca61ddc44c4f46d2b0d4b4bd37,per-image SQLite feature record compared by semantic image name
keypoints,frame_0030.png,1050,1050,6,6,True,True,072be922e5f4111e1a03938a5194fb7c518df30c06e9ba7c3ab1d81fdeb0b92d,072be922e5f4111e1a03938a5194fb7c518df30c06e9ba7c3ab1d81fdeb0b92d,per-image SQLite feature record compared by semantic image name
