frame,num_detected,detected_ids,image,debug_image,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
21,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0021.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0021_debug.png,-2.532258064516129,0.0,2.2,0.0,0.4419354838709677,-1.5
22,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0022.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0022_debug.png,-2.4806451612903224,0.0,2.2,0.0,0.45483870967741935,-1.6
23,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0023.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0023_debug.png,-2.4290322580645163,0.0,2.2,0.0,0.46774193548387094,-1.7000000000000002
24,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0024.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0024_debug.png,-2.3774193548387097,0.0,2.2,0.0,0.48064516129032253,-1.7999999999999998
25,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0025.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0025_debug.png,-2.325806451612903,0.0,2.2,0.0,0.4935483870967742,-1.9
26,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0026.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0026_debug.png,-2.274193548387097,0.0,2.2,0.0,0.5064516129032257,-2.0
27,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0027.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0027_debug.png,-2.2225806451612904,0.0,2.2,0.0,0.5193548387096774,-2.1
28,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0028.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0028_debug.png,-2.170967741935484,0.0,2.2,0.0,0.532258064516129,-2.2
29,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0029.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0029_debug.png,-2.1193548387096772,0.0,2.2,0.0,0.5451612903225806,-2.3000000000000003
30,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0030.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0030_debug.png,-2.067741935483871,0.0,2.2,0.0,0.5580645161290323,-2.4
31,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0031.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0031_debug.png,-2.016129032258065,0.0,2.2,0.0,0.5709677419354838,-2.5
32,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0032.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0032_debug.png,-1.9645161290322581,0.0,2.2,0.0,0.5838709677419355,-2.6
33,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0033.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0033_debug.png,-1.9129032258064516,0.0,2.2,0.0,0.596774193548387,-2.7
34,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0034.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0034_debug.png,-1.8612903225806452,0.0,2.2,0.0,0.6096774193548387,-2.8
35,1,1,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0035.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0035_debug.png,-1.8096774193548388,0.0,2.2,0.0,0.6225806451612903,-2.9
36,1,1,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0036.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0036_debug.png,-1.7580645161290323,0.0,2.2,0.0,0.635483870967742,-3.0
37,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0037.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0037_debug.png,-1.706451612903226,0.0,2.2,0.0,0.6483870967741935,-3.1
38,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0038.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0038_debug.png,-1.6548387096774193,0.0,2.2,0.0,0.6612903225806451,-3.1999999999999997
39,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0039.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0039_debug.png,-1.603225806451613,0.0,2.2,0.0,0.6741935483870967,-3.3
40,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0040.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0040_debug.png,-1.5516129032258064,0.0,2.2,0.0,0.6870967741935483,-3.4
41,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0041.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0041_debug.png,-1.5,0.0,2.2,0.0,0.7,-3.5
42,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0042.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0042_debug.png,-1.3846153846153846,0.0,2.2,0.0,0.7,-3.6
43,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0043.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0043_debug.png,-1.2692307692307692,0.0,2.2,0.0,0.7,-3.7
44,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0044.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0044_debug.png,-1.1538461538461537,0.0,2.2,0.0,0.7,-3.8
45,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0045.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0045_debug.png,-1.0384615384615383,0.0,2.2,0.0,0.7,-3.9
46,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0046.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0046_debug.png,-0.923076923076923,0.0,2.2,0.0,0.7,-4.0
47,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0047.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0047_debug.png,-0.8076923076923077,0.0,2.2,0.0,0.7,-4.1
48,1,0,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0048.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0048_debug.png,-0.6923076923076923,0.0,2.2,0.0,0.7,-4.2
49,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0049.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0049_debug.png,-0.5769230769230769,0.0,2.2,0.0,0.7,-4.3
50,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0050.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0050_debug.png,-0.4615384615384617,0.0,2.2,0.0,0.7,-4.3999999999999995
51,1,3,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0051.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0051_debug.png,-0.34615384615384603,0.0,2.2,0.0,0.7,-4.5
52,1,3,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0052.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0052_debug.png,-0.23076923076923084,0.0,2.2,0.0,0.7,-4.6
53,1,3,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0053.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0053_debug.png,-0.11538461538461542,0.0,2.2,0.0,0.7,-4.7
54,1,3,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0054.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0054_debug.png,0.0,0.0,2.2,0.0,0.7,-4.8
55,1,3,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0055.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0055_debug.png,0.0,0.0,2.2,0.0,0.6733333333333333,-4.898879020666667
56,1,3,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0056.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0056_debug.png,0.0,0.0,2.2,0.0,0.6466666666666666,-4.997758041333333
57,1,3,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0057.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0057_debug.png,0.0,0.0,2.2,0.0,0.62,-5.096637062
58,1,3,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0058.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0058_debug.png,0.0,0.0,2.2,0.0,0.5933333333333333,-5.195516082666667
59,1,3,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0059.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0059_debug.png,0.0,0.0,2.2,0.0,0.5666666666666667,-5.294395103333334
60,1,3,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0060.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0060_debug.png,0.0,0.0,2.2,0.0,0.5399999999999999,-5.393274124
61,1,7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0061.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0061_debug.png,0.0,0.0,2.2,0.0,0.5133333333333333,-5.492153144666666
62,2,6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0062.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0062_debug.png,0.0,0.0,2.2,0.0,0.48666666666666664,-5.591032165333333
63,2,6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0063.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0063_debug.png,0.0,0.0,2.2,0.0,0.45999999999999996,-5.689911186
64,2,6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0064.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0064_debug.png,0.0,0.0,2.2,0.0,0.43333333333333335,-5.7887902066666665
65,2,6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0065.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0065_debug.png,0.0,0.0,2.2,0.0,0.4066666666666667,-5.887669227333333
66,3,6;7;8,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0066.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0066_debug.png,0.0,0.0,2.2,0.0,0.37999999999999995,-5.986548248
67,3,6;7;8,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0067.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0067_debug.png,0.0,0.0,2.2,0.0,0.35333333333333333,-6.085427268666667
