image_name,colmap_eval_aligned_x,colmap_eval_aligned_y,colmap_eval_aligned_z,gt_x,gt_y,gt_z,err_x_m,err_y_m,err_z_m,err_norm_m
moving_0128.jpg,-0.67082788,-0.00301028,1.65299593,-0.54545500,0.00000000,1.65000000,-0.12537288,-0.00301028,0.00299593,0.12544479
moving_0129.jpg,-0.59849799,-0.00364385,1.65262288,-0.47272700,0.00000000,1.65000000,-0.12577099,-0.00364385,0.00262288,0.12585110
moving_0130.jpg,-0.52636779,-0.00374050,1.65224521,-0.40000000,0.00000000,1.65000000,-0.12636779,-0.00374050,0.00224521,0.12644307
moving_0131.jpg,-0.45423256,-0.00382946,1.65147719,-0.40000000,0.00000000,1.65000000,-0.05423256,-0.00382946,0.00147719,0.05438766
moving_0132.jpg,-0.38207127,-0.00350349,1.65240277,-0.40000000,0.00000000,1.65000000,0.01792873,-0.00350349,0.00240277,0.01842517
moving_0133.jpg,-0.38207127,-0.00350349,1.65240277,-0.40000000,0.00000000,1.65000000,0.01792873,-0.00350349,0.00240277,0.01842517
moving_0134.jpg,-0.30977381,-0.00375321,1.65113325,-0.32727300,0.00000000,1.65000000,0.01749919,-0.00375321,0.00113325,0.01793300
moving_0135.jpg,-0.30977381,-0.00375321,1.65113325,-0.25454500,0.00000000,1.65000000,-0.05522881,-0.00375321,0.00113325,0.05536779
moving_0136.jpg,-0.30977381,-0.00375321,1.65113325,-0.18181800,0.00000000,1.65000000,-0.12795581,-0.00375321,0.00113325,0.12801586
moving_0137.jpg,-0.23826106,-0.00352759,1.64956403,-0.10909100,0.00000000,1.65000000,-0.12917006,-0.00352759,-0.00043597,0.12921896
moving_0138.jpg,-0.16557427,-0.00334206,1.64982589,-0.03636400,0.00000000,1.65000000,-0.12921027,-0.00334206,-0.00017411,0.12925361
moving_0139.jpg,-0.09333983,-0.00333369,1.64726525,0.03636400,0.00000000,1.65000000,-0.12970383,-0.00333369,-0.00273475,0.12977548
moving_0140.jpg,-0.02241136,-0.00174337,1.64754901,0.10909100,0.00000000,1.65000000,-0.13150236,-0.00174337,-0.00245099,0.13153675
moving_0141.jpg,0.05004132,-0.00198120,1.64820820,0.18181800,0.00000000,1.65000000,-0.13177668,-0.00198120,-0.00179180,0.13180375
moving_0142.jpg,0.12389835,-0.00276863,1.64797364,0.25454500,0.00000000,1.65000000,-0.13064665,-0.00276863,-0.00202636,0.13069169
moving_0143.jpg,0.19637412,-0.00267114,1.65123935,0.32727300,0.00000000,1.65000000,-0.13089888,-0.00267114,0.00123935,0.13093199
moving_0144.jpg,0.26837572,-0.00267457,1.65081276,0.40000000,0.00000000,1.65000000,-0.13162428,-0.00267457,0.00081276,0.13165395
moving_0145.jpg,0.34101644,-0.00282927,1.65013119,0.40000000,0.00000000,1.65000000,-0.05898356,-0.00282927,0.00013119,0.05905152
